ID,Process ID,Process Name,Host Name,Kernel Name,Kernel Time,Context,Stream,Section Name,Metric Name,Metric Unit,Metric Value
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,Command line profiler metrics,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,inst,0
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,Command line profiler metrics,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,inst,6046942206
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,Command line profiler metrics,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,inst,7912661702
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,Command line profiler metrics,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,inst,7366776525
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,Command line profiler metrics,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,inst,0
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,Command line profiler metrics,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,inst,0
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,Command line profiler metrics,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,inst,0
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,GPU Speed Of Light,DRAM Frequency,cycle/second,878169557.9
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,GPU Speed Of Light,SM Frequency,cycle/second,1313339358
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,GPU Speed Of Light,Elapsed Cycles,cycle,18127049
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,GPU Speed Of Light,Memory [%],%,71.07
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,GPU Speed Of Light,SOL DRAM,%,4.47
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,GPU Speed Of Light,Duration,nsecond,13800032
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,GPU Speed Of Light,SOL L1/TEX Cache,%,73.7
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,GPU Speed Of Light,SOL L2 Cache,%,1.8
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,GPU Speed Of Light,SM Active Cycles,cycle,17477144.01
1,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:27,1,15,GPU Speed Of Light,SM [%],%,46.34
2,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:38,1,19,Command line profiler metrics,dram__bytes.sum,byte,556422464
2,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:38,1,19,Command line profiler metrics,l1tex__t_bytes.sum,byte,1501336256
2,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:38,1,19,Command line profiler metrics,lts__t_bytes.sum,byte,642864512
2,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:38,1,19,Command line profiler metrics,sm__cycles_elapsed.avg,cycle,17546554.05
2,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:38,1,19,Command line profiler metrics,sm__cycles_elapsed.avg.per_second,cycle/second,1309822812
2,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:38,1,19,Command line profiler metrics,sm__inst_executed_pipe_tensor.sum,inst,0
2,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:38,1,19,Command line profiler metrics,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,inst,0
