ID,Process ID,Process Name,Host Name,Kernel Name,Kernel Time,Context,Stream,Section Name,Metric Name,Metric Unit,Metric Value
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,Command line profiler metrics,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,inst,0
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,Command line profiler metrics,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,inst,22077240
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,Command line profiler metrics,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,inst,5836800
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,Command line profiler metrics,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,inst,8755200
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,Command line profiler metrics,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,inst,0
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,Command line profiler metrics,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,inst,0
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,Command line profiler metrics,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,inst,0
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,GPU Speed Of Light,DRAM Frequency,cycle/second,872010828.7
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,GPU Speed Of Light,SM Frequency,cycle/second,1302692761
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,GPU Speed Of Light,Elapsed Cycles,cycle,277278
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,GPU Speed Of Light,Memory [%],%,73.2
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,GPU Speed Of Light,SOL DRAM,%,73.2
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,GPU Speed Of Light,Duration,nsecond,212768
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,GPU Speed Of Light,SOL L1/TEX Cache,%,68.73
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,GPU Speed Of Light,SOL L2 Cache,%,44.9
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,GPU Speed Of Light,SM Active Cycles,cycle,269200.09
1,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:19,1,18,GPU Speed Of Light,SM [%],%,14.56
2,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:28,1,21,Command line profiler metrics,dram__bytes.sum,byte,139095328
2,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:28,1,21,Command line profiler metrics,l1tex__t_bytes.sum,byte,366792576
2,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:28,1,21,Command line profiler metrics,lts__t_bytes.sum,byte,224087680
2,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:28,1,21,Command line profiler metrics,sm__cycles_elapsed.avg,cycle,276433.17
2,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:28,1,21,Command line profiler metrics,sm__cycles_elapsed.avg.per_second,cycle/second,1303339879
